time,open,high,low,close,volume
1757442300,111278.12,111278.12,111278.12,111278.12,0.0036
1757442360,111278.12,111278.12,111278.12,111278.12,0.0
1757442420,111278.12,111278.12,111278.12,111278.12,0.0
1757442480,111278.12,111278.12,111278.12,111278.12,0.0
1757442540,110960.6,110960.6,110960.6,110960.6,0.00193
1757442600,111324.17,111324.17,111324.09,111324.09,0.00058
1757442660,111324.09,111324.09,111324.09,111324.09,0.0
1757442720,111324.09,111324.09,111324.09,111324.09,0.0
1757442780,111324.09,111324.09,111324.09,111324.09,0.0
1757442840,111324.09,111324.09,111324.09,111324.09,0.0
1757442900,111324.09,111324.09,111324.09,111324.09,0.0
1757442960,111324.09,111324.09,111324.09,111324.09,0.0
1757443020,111324.09,111324.09,111324.09,111324.09,0.0
1757443080,111324.09,111324.09,111324.09,111324.09,0.0
1757443140,111324.09,111324.09,111324.09,111324.09,0.0
1757443200,111324.09,111324.09,111324.09,111324.09,0.0
1757443260,111324.09,111324.09,111324.09,111324.09,0.0
1757443320,111324.09,111324.09,111324.09,111324.09,0.0
1757443380,111324.09,111324.09,111324.09,111324.09,0.0
1757443440,111324.09,111324.09,111324.09,111324.09,0.0
1757443500,111324.09,111324.09,111324.09,111324.09,0.0
1757443560,111324.09,111324.09,111324.09,111324.09,0.0
1757443620,111324.09,111324.09,111324.09,111324.09,0.0
1757443680,111324.09,111324.09,111324.09,111324.09,0.0
1757443740,111324.09,111324.09,111324.09,111324.09,0.0
1757443800,111324.09,111324.09,111324.09,111324.09,0.0
1757443860,111324.09,111324.09,111324.09,111324.09,0.0
1757443920,111324.09,111324.09,111324.09,111324.09,0.0
1757443980,111324.09,111324.09,111324.09,111324.09,0.0
1757444040,111324.09,111324.09,111324.09,111324.09,0.0
1757444100,111324.09,111324.09,111324.09,111324.09,0.0
1757444160,111324.09,111324.09,111324.09,111324.09,0.0
1757444220,111324.09,111324.09,111324.09,111324.09,0.0
1757444280,111324.09,111324.09,111324.09,111324.09,0.0
1757444340,111324.09,111324.09,111324.09,111324.09,0.0
1757444400,111324.09,111324.09,111324.09,111324.09,0.0
1757444460,111284.64,111284.64,111284.64,111284.64,0.0009
1757444520,111284.64,111284.64,111284.64,111284.64,0.0
1757444580,111284.64,111284.64,111284.64,111284.64,0.0
1757444640,111005.99,111005.99,111005.99,111005.99,0.00007
1757444700,111005.99,111005.99,111005.99,111005.99,0.0
1757444760,111005.99,111005.99,111005.99,111005.99,0.0
1757444820,111005.99,111005.99,111005.99,111005.99,0.0
1757444880,111005.99,111005.99,111005.99,111005.99,0.0
1757444940,111005.99,111005.99,111005.99,111005.99,0.0
1757445000,111005.99,111005.99,111005.99,111005.99,0.0
1757445060,111005.99,111005.99,111005.99,111005.99,0.0
1757445120,111028.7,111030.13,111028.7,111030.13,0.00084
1757445180,111031.54,111031.54,111030.13,111030.13,1.33453
1757445240,111030.13,111030.13,111030.13,111030.13,0.0
1757445300,111030.13,111030.13,111030.13,111030.13,0.0
1757445360,111032.58,111032.86,111032.58,111032.86,0.00017
1757445420,111032.86,111032.86,111032.86,111032.86,0.0
1757445480,111409.98,111409.98,111409.98,111409.98,0.00006
1757445540,111409.98,111409.98,111409.98,111409.98,0.0
1757445600,111409.98,111409.98,111409.98,111409.98,0.0
1757445660,111407.37,111407.42,111407.37,111407.42,0.0531
1757445720,111407.42,111407.42,111407.42,111407.42,0.0
1757445780,111405.54,111405.54,111405.54,111405.54,0.00004
1757445840,111405.54,111405.54,111405.54,111405.54,0.0
1757445900,111405.54,111405.54,111405.54,111405.54,0.0
1757445960,111405.54,111405.54,111405.54,111405.54,0.0
1757446020,111405.54,111405.54,111405.54,111405.54,0.0
1757446080,111405.54,111405.54,111405.54,111405.54,0.0
1757446140,111401.34,111401.34,111401.33,111401.33,0.00397
1757446200,111401.33,111401.33,111401.33,111401.33,0.0
1757446260,111399.95,111399.95,111399.95,111399.95,0.001
1757446320,111399.95,111399.95,111399.95,111399.95,0.0
1757446380,111397.97,111397.97,111397.97,111397.97,0.0009
1757446440,111050.47,111050.49,111050.47,111050.49,0.00117
1757446500,111050.49,111050.49,111050.49,111050.49,0.0
1757446560,111395.07,111395.07,111395.07,111395.07,0.0009
1757446620,111395.07,111395.07,111395.07,111395.07,0.0
1757446680,111395.07,111395.07,111395.07,111395.07,0.0
1757446740,111395.07,111395.07,111395.07,111395.07,0.0
1757446800,111395.07,111395.07,111395.07,111395.07,0.0
1757446860,111395.07,111395.07,111395.07,111395.07,0.0
1757446920,111390.47,111390.47,111390.47,111390.47,0.00007
1757446980,111390.47,111390.47,111390.47,111390.47,0.0
1757447040,111389.03,111389.03,111389.03,111389.03,0.0001
1757447100,111389.03,111389.03,111389.03,111389.03,0.0
1757447160,111388.0,111388.0,111388.0,111388.0,0.00089
1757447220,111065.04,111387.29,111065.04,111387.29,0.00074
1757447280,111387.29,111387.29,111387.29,111387.29,0.0
1757447340,111387.29,111387.29,111387.29,111387.29,0.0
1757447400,111386.2,111386.2,111068.48,111068.48,0.00021
1757447460,111068.48,111068.48,111068.48,111068.48,0.0
1757447520,111068.48,111068.48,111068.48,111068.48,0.0
1757447580,111068.48,111068.48,111068.48,111068.48,0.0
1757447640,111385.06,111385.06,111385.06,111385.06,0.00045
1757447700,111385.06,111385.06,111385.06,111385.06,0.0
1757447760,111385.06,111385.06,111385.06,111385.06,0.0
1757447820,111385.06,111385.06,111385.06,111385.06,0.0
1757447880,111385.06,111385.06,111385.06,111385.06,0.0
1757447940,111385.06,111385.06,111385.06,111385.06,0.0
