time,open,high,low,close,volume
1757418480,4344.05,4344.05,4344.05,4344.05,0.0
1757418540,4344.05,4344.05,4344.05,4344.05,0.0
1757418600,4344.05,4344.05,4344.05,4344.05,0.0
1757418660,4344.05,4344.05,4344.05,4344.05,0.0
1757418720,4344.05,4344.05,4344.05,4344.05,0.0
1757418780,4344.05,4344.05,4344.05,4344.05,0.1789
1757418840,4354.86,4354.86,4354.86,4354.86,0.0137
1757418900,4354.86,4354.86,4354.86,4354.86,0.0
1757418960,4353.38,4353.39,4353.38,4353.39,0.0229
1757419020,4353.39,4353.39,4353.39,4353.39,0.0
1757419080,4345.34,4345.34,4345.34,4345.34,0.0012
1757419140,4345.34,4345.34,4345.34,4345.34,0.0
1757419200,4340.87,4347.86,4339.81,4347.86,4.8697
1757419260,4332.5,4332.5,4332.5,4332.5,0.0029
1757419320,4345.85,4345.85,4345.85,4345.85,0.0012
1757419380,4344.4,4344.4,4344.4,4344.4,0.0024
1757419440,4344.06,4344.06,4344.06,4344.06,0.0003
1757419500,4349.6,4349.6,4349.3,4349.3,0.0016
1757419560,4349.3,4349.3,4349.3,4349.3,0.0
1757419620,4349.3,4349.3,4349.3,4349.3,0.0
1757419680,4349.83,4349.84,4349.83,4349.84,0.0828
1757419740,4358.11,4358.11,4358.11,4358.11,0.0094
1757419800,4358.11,4358.11,4358.11,4358.11,0.0
1757419860,4358.75,4358.75,4358.75,4358.75,0.005
1757419920,4358.75,4358.75,4358.75,4358.75,0.0
1757419980,4358.75,4358.75,4358.75,4358.75,0.0
1757420040,4358.75,4358.75,4358.75,4358.75,0.0
1757420100,4358.61,4363.97,4358.61,4363.97,0.2775
1757420160,4363.97,4363.97,4363.97,4363.97,0.0
1757420220,4353.81,4353.91,4353.81,4353.91,0.2337
1757420280,4353.91,4353.91,4353.91,4353.91,0.0
1757420340,4361.24,4361.25,4361.24,4361.25,0.0229
1757420400,4361.25,4361.25,4361.25,4361.25,0.0
1757420460,4363.96,4363.96,4363.96,4363.96,0.0186
1757420520,4363.96,4363.96,4363.96,4363.96,0.0
1757420580,4363.96,4363.96,4363.96,4363.96,0.0024
1757420640,4363.96,4363.96,4363.96,4363.96,0.0
1757420700,4363.96,4363.96,4363.96,4363.96,0.0
1757420760,4363.96,4363.96,4363.96,4363.96,0.0
1757420820,4363.96,4363.96,4363.96,4363.96,0.0
1757420880,4363.96,4363.96,4363.96,4363.96,0.0
1757420940,4363.97,4363.97,4363.97,4363.97,0.0009
1757421000,4363.97,4363.97,4363.97,4363.97,0.0
